,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
Марка,толщина,Ед.изм,Цена,,г/к н/с   AISI 304 (08Х18Н10)   No1,4 ,т,262490
г/к н/с   08Х18Н10Т,12 ,т,382500,,,,,
г/к н/с   12Х18Н10Т,4 ,т,372300,,г/к н/с   AISI 304 (08Х18Н10)   No1,5 ,т,253000
г/к н/с   12Х18Н10Т,5 ; 5.5; 6,т,351900,,,,,
г/к н/с   12Х18Н10Т,8 ; 10; 12; 14,т,329460,,г/к н/с   AISI 304 (08Х18Н10)   No1,5 ,т,258000
г/к н/с   12Х18Н10Т,16 ,т,335580,,,,,
г/к н/с   12Х18Н10Т,18 ,т,341700,,г/к н/с   AISI 304 (08Х18Н10)   No1,6 ,т,250000
г/к н/с   12Х18Н10Т,20 ; 22,т,351900,,,,,
г/к н/с   12Х18Н10Т,24 ; 25; 30; 40,т,355980,,г/к н/с   AISI 304 (08Х18Н10)   No1,6 ,т,258000
,45 ,,,,,,,
г/к н/с   12Х18Н10Т,50 ,т,362100,,г/к н/с   AISI 304 (08Х18Н10)   No1,8 ,т,253000
г/к н/с   12Х18Н10Т,90 ,т,405960,,,,,
г/к н/с   12Х18Н10Т,90 ,т,413100,,г/к н/с   AISI 304 (08Х18Н10)   No1,8 ,т,258000
г/к н/с   12Х18Н10Т   (ACRONI),12 ,т,386580,,,,,
,,,,,г/к н/с   AISI 304 (08Х18Н10)   No1,8 ,т,269450
г/к н/с   20Х23Н18,3 ,т,986920,,,,,
г/к н/с   20Х23Н18,5 ; 6; 8,т,923250,,г/к н/с   AISI 304 (08Х18Н10)   No1,10 ,т,242900
г/к н/с   20Х23Н18,25 ,т,841800,,,,,
г/к н/с   AISI 201   No1,3 ,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,10 ,т,250000
,,,,,,,,
г/к н/с   AISI 201   No1,3 ,т,194680,,г/к н/с   AISI 304 (08Х18Н10)   No1,10 ,т,258000
,,,,,,,,
г/к н/с   AISI 201   No1,4 ; 5; 5,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,10 ,т,267000
,,,,,,,,
г/к н/с   AISI 201   No1,5 ,т,171080,,г/к н/с   AISI 304 (08Х18Н10)   No1,12 ,т,251160
,,,,,,,,
г/к н/с   AISI 201   No1,6 ,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,12 ,т,258000
,,,,,,,,
г/к н/с   AISI 201   No1,6 ,т,171080,,г/к н/с   AISI 304 (08Х18Н10)   No1,12 ,т,265860
,,,,,,,,
г/к н/с   AISI 201   No1,8 ,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,14 ,т,258000
,,,,,,,,
г/к н/с   AISI 201   No1,8 ,т,171080,,г/к н/с   AISI 304 (08Х18Н10)   No1,16 ,т,0
,,,,,,,,
г/к н/с   AISI 201   No1,10 ,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,16 ,т,249000
,,,,,,,,
г/к н/с   AISI 201   No1,10 ,т,171080,,г/к н/с   AISI 304 (08Х18Н10)   No1,16 ,т,259080
,,,,,,,,
г/к н/с   AISI 201   No1,12 ,т,164460,,г/к н/с   AISI 304 (08Х18Н10)   No1,16 ; 18,т,263610
,,,,,,,,
г/к н/с   AISI 201   No1,12 ,т,171080,,г/к н/с   AISI 304 (08Х18Н10)   No1,20 ,т,260000
,,,,,,,,
г/к н/с   AISI 201   No1,14 ,т,179920,,г/к н/с   AISI 304 (08Х18Н10)   No1,20 ,т,262000
,,,,,,,,
г/к н/с   AISI 201   No1,16 ; 20,т,182120,,г/к н/с   AISI 304 (08Х18Н10)   No1,25 ,т,258000
,,,,,,,,
г/к н/с   AISI 201   No1,20 ; 25,т,186530,,г/к н/с   AISI 304 (08Х18Н10)   No1,25 ,т,262960
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10),50 ; 60,т,265000,,г/к н/с   AISI 304 (08Х18Н10)   No1,30 ,т,240000
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10)   No1,2 ,т,288490,,г/к н/с   AISI 304 (08Х18Н10)   No1,30 ,т,249000
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10)   No1,3 ,т,258000,,г/к н/с   AISI 304 (08Х18Н10)   No1,32 ; 36,т,257940
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10)   No1,3 ,т,264740,,г/к н/с   AISI 304 (08Х18Н10)   No1,40 ; 45,т,265100
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10)   No1,3 ,т,267000,,г/к н/с   AISI 304 (08Х18Н10)   TEAR PLATE (рифлен.),3 ,т,311120
,,,,,,,,
г/к н/с   AISI 304 (08Х18Н10)   No1,4 ,т,245500,,,,,
