,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:50,,,
,Профнастил под заказ    https://mc.ru/prices/price_prof.xls,,,,,,,
,,,,,,,,
Профнастил,,,,,,,,
ПРОФНАСТИЛ ОКРАШЕННЫЙ,,,,,,,,
Наименование,толщина,Ед.изм,Цена,,С21 1000(1051)-0.4 RAL 8017,0.4 ,м,477
НС35 1000(1060)-0.45 RAL 1018,0.45 ,м,560,,,,,
,,,,,С21 1000(1051)-0.4 RAL 9003,0.4 ,м,477
НС44 1000(1064)-0.4 RAL 6005,0.4 ,м,490,,,,,
,,,,,С21 1000(1051)-0.45 RAL 3005,0.45 ,м,560
С10 1100(1170)-0.5 RAL 7004,0.5 ,м,620,,,,,
,,,,,С21 1000(1051)-0.45 RAL 5005,0.45 ,м,560
С20 1100(1150)-0.35 RAL 3005,0.35 ,м,377,,,,,
,,,,,С21 1000(1051)-0.45 RAL 6005,0.45 ,м,560
С20 1100(1150)-0.35 RAL 5005,0.35 ,м,377,,,,,
,,,,,С21 1000(1051)-0.45 RAL 7024,0.45 ,м,560
С20 1100(1150)-0.35 RAL 7024,0.35 ,м,377,,,,,
,,,,,С21 1000(1051)-0.45 RAL 8017,0.45 ,м,560
С20 1100(1150)-0.4 RAL 3005,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.5 RAL 5005,0.5 ,м,620
С20 1100(1150)-0.4 RAL 5005,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.5 RAL 6005,0.5 ,м,620
С20 1100(1150)-0.4 RAL 6005,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.5 RAL 7024,0.5 ,м,620
С20 1100(1150)-0.4 RAL 7004,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.5 RAL 8017,0.5 ,м,620
С20 1100(1150)-0.4 RAL 7024,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.7 RAL 1015,0.7 ,м,845
С20 1100(1150)-0.4 RAL 8017,0.4 ,м,435,,,,,
,,,,,С21 1000(1051)-0.7 RAL 7004,0.7 ,м,845
С20 1100(1150)-0.45 RAL 3005,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.3 RAL 6005 А,0.3 ,м,310
С20 1100(1150)-0.45 RAL 5005,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.3 RAL 7024 А,0.3 ,м,310
С20 1100(1150)-0.45 RAL 6005,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.3 RAL 8017 А,0.3 ,м,310
С20 1100(1150)-0.45 RAL 7004,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.35 RAL 3005,0.35 ,м,377
С20 1100(1150)-0.45 RAL 7024,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.35 RAL 3005 А,0.35 ,м,350
С20 1100(1150)-0.45 RAL 8017,0.45 ,м,527,,,,,
,,,,,С8 1150(1200)-0.35 RAL 5005,0.35 ,м,377
С20 1100(1150)-0.5 RAL 3005,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 5005 А,0.35 ,м,350
С20 1100(1150)-0.5 RAL 5005,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 6005,0.35 ,м,377
С20 1100(1150)-0.5 RAL 6005,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 6005 А,0.35 ,м,350
С20 1100(1150)-0.5 RAL 7004,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 7004,0.35 ,м,377
С20 1100(1150)-0.5 RAL 7024,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 7004 А,0.35 ,м,350
С20 1100(1150)-0.5 RAL 8017,0.5 ,м,570,,,,,
,,,,,С8 1150(1200)-0.35 RAL 7024,0.35 ,м,377
С20 1100(1150)-0.7 RAL 7004,0.7 ,м,835,,,,,
,,,,,С8 1150(1200)-0.35 RAL 7024 А,0.35 ,м,350
С21 1000(1051)-0.35 RAL 7024,0.35 ,м,400,,,,,
,,,,,С8 1150(1200)-0.35 RAL 8017,0.35 ,м,377
С21 1000(1051)-0.4 RAL 5005,0.4 ,м,477,,,,,
,,,,,С8 1150(1200)-0.35 RAL 8017 А,0.35 ,м,350
С21 1000(1051)-0.4 RAL 6005,0.4 ,м,477,,,,,
,,,,,С8 1150(1200)-0.35 RAL 9003,0.35 ,м,377
С21 1000(1051)-0.4 RAL 7004,0.4 ,м,477,,,,,
,,,,,С8 1150(1200)-0.35 RAL 9003 А,0.35 ,м,350
С21 1000(1051)-0.4 RAL 7024,0.4 ,м,477,,,,,
,,,,,С8 1150(1200)-0.4 RAL 3005,0.4 ,м,435
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
