,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:51,,,
Сортовой прокат (цена от 5 т.),,,,,,,,
АРМАТУРА,,,,,,,,
Марка,диаметр,Ед.изм,Цена,,кл А3 ТУ 38.32.22-09-15610448-2021 н/д некондиция,12 ,т,38490
кл А1 А240,8 ,т,53990,,,,,
кл А1 А240,12 ,т,50490,,,,,
кл А1 А240,14 ; 18,т,48490,,кл А800,12 ; 14,т,52490
кл А1 А240,20 ; 22,т,47990,,"кл А800  6,7м",12 ; 14,т,52490
кл А1 А240,25 ,т,48490,,"кл А800  7,6м",12 ,т,51990
кл А1 А240 6м,6 ; 8,т,53490,,"кл А800  7,6м",14 ,т,52490
кл А1 А240С,10 ,т,53990,,УГОЛОК,,,
кл А1 А240С,16 ,т,48990,,Полка,толщина,Ед.изм,Цена
кл А1 А240С 6м,10 ,т,53990,,63x40,5 ,т,85490
кл А1 мотки А240,8 ,т,52490,,63x40,6 ,т,92490
кл А1 мотки А240С,10 ,т,52990,,75x50,5 ; 6,т,72490
кл А1 мотки Ст3,12 ,т,52990,,100x63,6 ; 8,т,67990
кл А1 Ст3,12 ,т,50490,,125x80,8 ,т,129990
кл А1 Ст3,28 ; 32,т,52990,,125x80,10 ,т,129490
кл А1 Ст3,36 ; 40,т,53990,,140x90,8 ; 10,т,131490
кл А1 Ст3 6м,6 ; 8,т,53490,,160x100,10 ,т,127490
кл А1 Ст3 6м,10 ,т,53990,,160x100,12 ,т,128990
кл А1 Ст3 6м,12 ,т,50490,,200x125,14 ,т,128490
кл А1 Ст3 6м,14 ,т,47990,,200x125,16 ,т,134990
кл А3  1000-6000 некондиция,12 ,т,33490,,25x25 6м,3 ,т,63790
,,,,,25x25 6м,3 ,т,63990
кл А3 25Г2С,8 ,т,54990,,25x25 6м,3 ,т,64490
кл А3 25Г2С,10 ,т,56490,,25x25 6м,4 ,т,62790
кл А3 25Г2С,12 ,т,51990,,25x25 6м,4 ,т,62990
кл А3 25Г2С,16 ; 18,т,51490,,25x25 6м,4 ,т,63490
кл А3 25Г2С,20 ,т,52490,,32x32 6м,3 ,т,63290
кл А3 25Г2С,22 ,т,50990,,32x32 6м,3 ,т,63490
кл А3 25Г2С,25 ,т,51990,,32x32 6м,3 ,т,63990
кл А3 25Г2С,28 ; 32,т,51490,,32x32 6м,4 ,т,63790
кл А3 35ГС,6 ,т,54490,,32x32 6м,4 ,т,64490
кл А3 35ГС,8 ,т,54990,,35x35 6м,3 ,т,65290
кл А3 35ГС,28 ; 32,т,50490,,35x35 6м,3 ,т,65490
кл А3 А400;500,8 ,т,54990,,35x35 6м,3 ,т,65990
кл А3 А400;500,10 ,т,50490,,35x35 6м,4 ,т,62290
кл А3 А400;500,12 ,т,48490,,35x35 6м,4 ,т,62490
кл А3 А400;500,14 ; 16; 18,т,47990,,35x35 6м,4 ,т,62990
кл А3 А400;500,20 ,т,47990,,40x40,3 ,т,55790
кл А3 А400;500,22 ,т,47990,,40x40,3 ,т,55990
кл А3 А400;500,25 ,т,47990,,40x40,3 ,т,56490
кл А3 А400;500,28 ; 32,т,48490,,40x40,4 ,т,53290
кл А3 А400;500,36 ,т,47990,,40x40,4 ,т,53490
кл А3 А400;500,40 ,т,48490,,40x40,4 ,т,53990
кл А3 А400;500 6м,6 ,т,53990,,40x40 6м,3 ,т,55790
кл А3 А400;500 6м,8 ,т,54990,,40x40 6м,3 ,т,55990
кл А3 А400;500 6м,10 ,т,50990,,40x40 6м,3 ,т,56490
кл А3 А400;500 6м,12 ,т,48990,,40x40 6м,4 ,т,55290
кл А3 А400;500 6м,14 ; 16,т,48490,,45x45,4 ,т,53790
кл А3 А400;500 н/д,10 ,т,44990,,45x45,4 ,т,53990
кл А3 А400;500 н/д,12 ; 16,т,40990,,45x45,4 ,т,54490
кл А3 мотки 25Г2С,8 ,т,53990,,45x45,5 ,т,55290
кл А3 мотки 25Г2С,10 ,т,54990,,45x45,5 ,т,55990
кл А3 мотки 35ГС,6 ,т,53490,,45x45 6м,4 ,т,55290
кл А3 мотки 35ГС,8 ,т,54490,,45x45 6м,4 ,т,55490
кл А3 мотки А400;500,6 ,т,52990,,45x45 6м,4 ; 5,т,55990
кл А3 мотки А400;500,8 ,т,54990,,50x50,4 ,т,50790
кл А3 мотки А400;500,10 ,т,56990,,50x50,4 ,т,50990
кл А3 мотки А400;500,12 ,т,54990,,50x50,4 ,т,51490
кл А3 мотки В500С,6 ; 8,т,57990,,50x50,5 ,т,52290
кл А3 мотки В500С,10 ; 12,т,58990,,50x50,5 ,т,52490
"кл А3 ТУ 38.32.22-09-15610448-2021 11,7 некондиция",10 ,т,46490,,50x50,5 ,т,52990
,,,,,50x50  К,4 ,т,46600
,,,,,50x50  К,5 ,т,45751
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
